#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000005_ptg000005l:1307489-1309663 -            725 28907at4891          -            239   2.4e-10   31.4   1.3   3   5     0.026     0.062    3.9   0.0   181   215   206   242   186   251 0.78 -
C0000000005_ptg000005l:1307489-1309663 -            725 28907at4891          -            239   2.4e-10   31.4   1.3   4   5      0.01     0.025    5.2   0.1   187   215   257   286   243   303 0.65 -
C0000000005_ptg000005l:1307489-1309663 -            725 28907at4891          -            239   2.4e-10   31.4   1.3   5   5       1.4       3.3   -1.8   0.0   188   236   300   350   286   353 0.69 -
C0000000017_ptg000017l:164125-164850   -            242 28907at4891          -            239     3e-10   31.1   1.5   1   4      0.96       2.3   -1.3   0.0    69    97     2    30     1    35 0.60 -
C0000000017_ptg000017l:164125-164850   -            242 28907at4891          -            239     3e-10   31.1   1.5   2   4   0.00042     0.001    9.7   0.0    65    98    41    74    32    82 0.82 -
C0000000017_ptg000017l:164125-164850   -            242 28907at4891          -            239     3e-10   31.1   1.5   3   4     0.024     0.058    4.0   0.0   194   214   111   131    93   142 0.80 -
C0000000017_ptg000017l:164125-164850   -            242 28907at4891          -            239     3e-10   31.1   1.5   4   4   3.1e-05   7.5e-05   13.4   0.0   153   214   176   236   154   241 0.66 -
C0000000008_ptg000008l:609464-610291   -            276 28907at4891          -            239   8.5e-09   26.3   1.2   1   4      0.77       1.9   -1.0   0.0   174   215    23    65     4    81 0.71 -
C0000000008_ptg000008l:609464-610291   -            276 28907at4891          -            239   8.5e-09   26.3   1.2   2   4   6.7e-06   1.6e-05   15.6   0.0   154   212    85   145    75   148 0.87 -
C0000000008_ptg000008l:609464-610291   -            276 28907at4891          -            239   8.5e-09   26.3   1.2   3   4    0.0089     0.022    5.4   0.0   175   215   148   193   146   201 0.75 -
C0000000008_ptg000008l:609464-610291   -            276 28907at4891          -            239   8.5e-09   26.3   1.2   4   4      0.11      0.27    1.8   0.2   180   220   198   241   192   252 0.67 -
C0000000010_ptg000010l:74458-75252     -            265 28907at4891          -            239   2.5e-08   24.8   0.2   1   2     6e-06   1.5e-05   15.8   0.1    81   218    16   168     5   174 0.63 -
C0000000010_ptg000010l:74458-75252     -            265 28907at4891          -            239   2.5e-08   24.8   0.2   2   2     0.047      0.11    3.0   0.0   194   219   198   223   174   237 0.78 -
C0000000010_ptg000010l:113081-114064   -            328 28907at4891          -            239   6.9e-08   23.4   0.6   1   3      0.96       2.3   -1.3   0.0   183   213    33    64    24    89 0.70 -
C0000000010_ptg000010l:113081-114064   -            328 28907at4891          -            239   6.9e-08   23.4   0.6   2   3   3.9e-07   9.4e-07   19.7   0.7    67   213   122   277    74   298 0.75 -
C0000000010_ptg000010l:113081-114064   -            328 28907at4891          -            239   6.9e-08   23.4   0.6   3   3     0.038     0.093    3.3   0.0    66   102   249   284   235   319 0.82 -
C0000000007_ptg000007l:423866-425314   -            483 28907at4891          -            239   3.5e-07   21.1   0.0   1   2   5.9e-05   0.00014   12.5   0.0   108   172   170   231   120   290 0.73 -
C0000000007_ptg000007l:423866-425314   -            483 28907at4891          -            239   3.5e-07   21.1   0.0   2   2    0.0079     0.019    5.6   0.0   128   197   383   457   367   465 0.73 -
C0000000001_ptg000001l:153968-154747   -            260 28907at4891          -            239   9.8e-07   19.6   5.3   1   3      0.11      0.27    1.8   0.0    77    97    37    57    23    68 0.61 -
C0000000001_ptg000001l:153968-154747   -            260 28907at4891          -            239   9.8e-07   19.6   5.3   2   3     7e-05   0.00017   12.3   1.3    76   134    99   161    86   164 0.77 -
C0000000001_ptg000001l:153968-154747   -            260 28907at4891          -            239   9.8e-07   19.6   5.3   3   3     0.051      0.12    2.9   0.0   114   214   201   221   184   257 0.66 -
C0000000008_ptg000008l:850268-852322   -            685 28907at4891          -            239   0.00016   12.4   0.1   1   2      0.06      0.14    2.7   0.0    72    97     4    29     1    34 0.89 -
C0000000008_ptg000008l:850268-852322   -            685 28907at4891          -            239   0.00016   12.4   0.1   2   2    0.0024    0.0057    7.3   0.0    77   131    54   112    37   122 0.74 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/28907at4891.hmm
# Target file:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/rerun_results/SRR13577846.fa.ca.modified.fas
# Option settings: hmmsearch --domtblout /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/hmmer_output/rerun_results/28907at4891.out --cpu 1 /home/deepseq/tool/BUSCO_v5/saccharomycetes_odb10/hmms/28907at4891.hmm /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478/202302230949-GVF6W5EPF13MH478_busco/run_saccharomycetes_odb10/metaeuk_output/rerun_results/SRR13577846.fa.ca.modified.fas 
# Current dir:     /var/www/gvolante/request/project/202302230949-GVF6W5EPF13MH478
# Date:            Thu Feb 23 09:51:49 2023
# [ok]
