# BUSCO version is: 5.1.2 
# The lineage dataset is: saccharomycetes_odb10 (Creation date: 2020-08-05, number of genomes: 76, number of BUSCOs: 2137)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1099at4891	Complete	C0000000008_ptg000008l	889153	892401	-	1063.0	747	https://www.orthodb.org/v10?query=1099at4891	Alpha-mannosidase
1120at4891	Complete	C0000000003_ptg000003l	796725	800273	+	1202.5	774	https://www.orthodb.org/v10?query=1120at4891	Ribosome biogenesis protein BMS1
1180at4891	Complete	C0000000003_ptg000003l	406466	410149	-	1250.7	963	https://www.orthodb.org/v10?query=1180at4891	Uncharacterised domain NUC173
1186at4891	Complete	C0000000014_ptg000014l	399419	402577	-	1651.3	869	https://www.orthodb.org/v10?query=1186at4891	RNA cytidine acetyltransferase
1220at4891	Complete	C0000000005_ptg000005l	495560	500521	+	1515.8	1203	https://www.orthodb.org/v10?query=1220at4891	Serine/threonine-protein kinase
1221at4891	Complete	C0000000008_ptg000008l	1007024	1010128	-	1056.6	754	https://www.orthodb.org/v10?query=1221at4891	FACT complex subunit SPT16
1226at4891	Complete	C0000000009_ptg000009l	379842	383180	-	1264.4	943	https://www.orthodb.org/v10?query=1226at4891	binding
1228at4891	Complete	C0000000010_ptg000010l	149531	155995	-	878.4	1197	https://www.orthodb.org/v10?query=1228at4891	WD40-repeat-containing domain
1240at4891	Complete	C0000000005_ptg000005l	175821	180020	+	427.3	640	https://www.orthodb.org/v10?query=1240at4891	Mediator of RNA polymerase II transcription subunit 13
1243at4891	Complete	C0000000013_ptg000013l	217710	221240	-	1139.8	882	https://www.orthodb.org/v10?query=1243at4891	Condensin complex subunit 1
1266at4891	Complete	C0000000005_ptg000005l	1431784	1434996	+	1128.5	791	https://www.orthodb.org/v10?query=1266at4891	NAD-specific glutamate dehydrogenase
1283at4891	Complete	C0000000005_ptg000005l	785833	790926	+	770.4	1015	https://www.orthodb.org/v10?query=1283at4891	Protein dopey
1299at4891	Complete	C0000000008_ptg000008l	158479	161730	-	1568.5	941	https://www.orthodb.org/v10?query=1299at4891	Exportin-1
1312at4891	Complete	C0000000006_ptg000006l	455750	459439	+	1070.8	1091	https://www.orthodb.org/v10?query=1312at4891	Structural maintenance of chromosomes protein
1341at4891	Complete	C0000000015_ptg000015l	259017	262049	-	754.3	632	https://www.orthodb.org/v10?query=1341at4891	KEN domain
1344at4891	Complete	C0000000008_ptg000008l	768355	771687	+	483.2	520	https://www.orthodb.org/v10?query=1344at4891	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
1372at4891	Complete	C0000000008_ptg000008l	431067	434765	-	1124.3	887	https://www.orthodb.org/v10?query=1372at4891	Nrap protein
1378at4891	Complete	C0000000011_ptg000011l	317949	322190	+	1329.9	819	https://www.orthodb.org/v10?query=1378at4891	Paired amphipathic helix
1391at4891	Complete	C0000000003_ptg000003l	39167	43765	-	1830.4	1150	https://www.orthodb.org/v10?query=1391at4891	Glycogen debranching enzyme
1392at4891	Complete	C0000000007_ptg000007l	852843	856505	+	816.2	605	https://www.orthodb.org/v10?query=1392at4891	Ubiquitin carboxyl-terminal hydrolase 7, ICP0-binding domain
1425at4891	Complete	C0000000013_ptg000013l	397128	401165	+	844.9	664	https://www.orthodb.org/v10?query=1425at4891	Dbl homology (DH) domain
1426at4891	Complete	C0000000001_ptg000001l	54490	57576	-	930.7	631	https://www.orthodb.org/v10?query=1426at4891	Ferredoxin reductase-type FAD-binding domain
1452at4891	Complete	C0000000007_ptg000007l	148547	153466	-	1289.8	901	https://www.orthodb.org/v10?query=1452at4891	Lysophospholipase NTE1
1483at4891	Complete	C0000000017_ptg000017l	404385	407258	+	526.8	581	https://www.orthodb.org/v10?query=1483at4891	Ras GTPase-activating domain
1491at4891	Complete	C0000000008_ptg000008l	421632	424823	-	1661.0	866	https://www.orthodb.org/v10?query=1491at4891	Aminoacyl-tRNA synthetase, class Ia
1495at4891	Complete	C0000000005_ptg000005l	1394636	1398445	-	737.0	684	https://www.orthodb.org/v10?query=1495at4891	WD40-repeat-containing domain
1497at4891	Complete	C0000000006_ptg000006l	384800	389848	+	930.8	1091	https://www.orthodb.org/v10?query=1497at4891	Nucleoporin Nup186/Nup192/Nup205
1521at4891	Complete	C0000000011_ptg000011l	127719	130826	-	928.1	768	https://www.orthodb.org/v10?query=1521at4891	Peptidase M16, C-terminal
1523at4891	Complete	C0000000008_ptg000008l	613395	616820	-	1163.7	766	https://www.orthodb.org/v10?query=1523at4891	Calcium-transporting ATPase
1529at4891	Complete	C0000000016_ptg000016l	187433	190882	-	1457.7	823	https://www.orthodb.org/v10?query=1529at4891	P-type ATPase
1547at4891	Complete	C0000000002_ptg000002l	123971	127324	-	1104.6	735	https://www.orthodb.org/v10?query=1547at4891	Vacuolar cation-chloride cotransporter 1
1597at4891	Complete	C0000000010_ptg000010l	206827	209937	+	1141.7	707	https://www.orthodb.org/v10?query=1597at4891	putative ATP-dependent permease
1609at4891	Complete	C0000000014_ptg000014l	701296	706200	+	793.9	1020	https://www.orthodb.org/v10?query=1609at4891	Mon2, C-terminal
1625at4891	Complete	C0000000005_ptg000005l	385121	389656	-	1235.4	819	https://www.orthodb.org/v10?query=1625at4891	SNF2-related, N-terminal domain
1627at4891	Complete	C0000000003_ptg000003l	689646	692912	-	1389.2	830	https://www.orthodb.org/v10?query=1627at4891	leucyl-tRNA synthetase
1633at4891	Complete	C0000000005_ptg000005l	922471	925128	-	846.4	564	https://www.orthodb.org/v10?query=1633at4891	Trehalose-phosphatase
1642at4891	Complete	C0000000017_ptg000017l	77505	80951	-	271.3	563	https://www.orthodb.org/v10?query=1642at4891	Nucleoporin, Nup133/Nup155-like, C-terminal
1653at4891	Fragmented	C0000000008_ptg000008l	850268	852322	-	683.4	492	https://www.orthodb.org/v10?query=1653at4891	Coatomer subunit beta'
1655at4891	Complete	C0000000013_ptg000013l	358231	360813	-	1003.6	715	https://www.orthodb.org/v10?query=1655at4891	binding
1667at4891	Complete	C0000000005_ptg000005l	197292	200258	+	996.8	748	https://www.orthodb.org/v10?query=1667at4891	Peptidase M16, C-terminal
1679at4891	Complete	C0000000013_ptg000013l	449512	453372	-	1339.7	773	https://www.orthodb.org/v10?query=1679at4891	ATP-dependent RNA helicase Ski2, C-terminal
1699at4891	Complete	C0000000008_ptg000008l	912349	915198	+	1197.8	683	https://www.orthodb.org/v10?query=1699at4891	Calcium-transporting ATPase
1708at4891	Complete	C0000000004_ptg000004l	62652	65702	-	901.5	719	https://www.orthodb.org/v10?query=1708at4891	GPI ethanolamine phosphate transferase 3
1760at4891	Complete	C0000000013_ptg000013l	225956	228280	+	1010.7	597	https://www.orthodb.org/v10?query=1760at4891	DNA helicase
1774at4891	Complete	C0000000008_ptg000008l	981905	984943	+	1207.1	669	https://www.orthodb.org/v10?query=1774at4891	DNA helicase
1803at4891	Complete	C0000000008_ptg000008l	1062618	1065485	-	1062.7	756	https://www.orthodb.org/v10?query=1803at4891	Importin alpha re-exporter
1807at4891	Complete	C0000000001_ptg000001l	118639	121116	-	618.2	600	https://www.orthodb.org/v10?query=1807at4891	Nuclear pore protein
1841at4891	Complete	C0000000004_ptg000004l	255093	258092	-	339.4	543	https://www.orthodb.org/v10?query=1841at4891	Mediator of RNA polymerase II transcription subunit 14
1860at4891	Complete	C0000000016_ptg000016l	363473	366001	+	1288.4	625	https://www.orthodb.org/v10?query=1860at4891	Helicase, C-terminal
1865at4891	Complete	C0000000006_ptg000006l	63404	67729	+	1567.6	925	https://www.orthodb.org/v10?query=1865at4891	Nitrite/Sulfite reductase ferredoxin-like domain
1875at4891	Complete	C0000000007_ptg000007l	388309	392118	-	674.9	790	https://www.orthodb.org/v10?query=1875at4891	Armadillo-type fold
1906at4891	Complete	C0000000008_ptg000008l	51206	54355	+	747.5	652	https://www.orthodb.org/v10?query=1906at4891	Transcription initiation factor TFIID subunit 1
1923at4891	Complete	C0000000009_ptg000009l	521833	524076	+	1250.0	645	https://www.orthodb.org/v10?query=1923at4891	ATP-dependent helicase, C-terminal
1936at4891	Complete	C0000000002_ptg000002l	503454	506327	-	1034.2	584	https://www.orthodb.org/v10?query=1936at4891	Chitin synthase
1947at4891	Complete	C0000000017_ptg000017l	631552	634587	-	1466.5	903	https://www.orthodb.org/v10?query=1947at4891	Ubiquitin-activating enzyme E1
1970at4891	Complete	C0000000007_ptg000007l	496238	498784	+	435.6	442	https://www.orthodb.org/v10?query=1970at4891	MIF4G-like, type 1
1979at4891	Complete	C0000000006_ptg000006l	506917	511344	-	602.2	430	https://www.orthodb.org/v10?query=1979at4891	Protein kinase domain
2008at4891	Complete	C0000000012_ptg000012l	77114	80671	+	454.7	670	https://www.orthodb.org/v10?query=2008at4891	RNA polymerase III type 2 promoter sequence-specific DNA binding
2010at4891	Complete	C0000000002_ptg000002l	630166	632766	+	1221.6	652	https://www.orthodb.org/v10?query=2010at4891	DNA helicase
2020at4891	Complete	C0000000006_ptg000006l	412859	416077	-	1544.1	866	https://www.orthodb.org/v10?query=2020at4891	ATP-dependent RNA helicase DOB1
2040at4891	Complete	C0000000005_ptg000005l	237655	241521	+	531.5	727	https://www.orthodb.org/v10?query=2040at4891	TRAPP II complex, Trs120
2048at4891	Complete	C0000000007_ptg000007l	866799	870065	-	1152.9	879	https://www.orthodb.org/v10?query=2048at4891	Importin subunit beta-3
2052at4891	Complete	C0000000006_ptg000006l	255341	259219	+	1141.1	939	https://www.orthodb.org/v10?query=2052at4891	WD40/YVTN repeat-like-containing domain superfamily
2053at4891	Complete	C0000000006_ptg000006l	694294	696660	+	1181.3	633	https://www.orthodb.org/v10?query=2053at4891	Aconitate hydratase, mitochondrial
2138at4891	Complete	C0000000002_ptg000002l	590656	594387	+	585.2	497	https://www.orthodb.org/v10?query=2138at4891	Sla1
2161at4891	Complete	C0000000007_ptg000007l	823456	826323	+	1042.9	694	https://www.orthodb.org/v10?query=2161at4891	Splicing factor 3B subunit 1
2166at4891	Complete	C0000000009_ptg000009l	341025	343319	-	1282.3	678	https://www.orthodb.org/v10?query=2166at4891	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2167at4891	Complete	C0000000007_ptg000007l	650206	653082	-	1359.4	745	https://www.orthodb.org/v10?query=2167at4891	ATP-dependent 6-phosphofructokinase
2171at4891	Complete	C0000000005_ptg000005l	1479790	1482768	-	721.8	637	https://www.orthodb.org/v10?query=2171at4891	Rho GTPase activation protein
2180at4891	Complete	C0000000005_ptg000005l	584796	587696	+	1183.0	750	https://www.orthodb.org/v10?query=2180at4891	Coatomer subunit beta
2193at4891	Complete	C0000000004_ptg000004l	74120	76831	+	1335.6	760	https://www.orthodb.org/v10?query=2193at4891	P-loop containing nucleoside triphosphate hydrolase protein
2203at4891	Complete	C0000000011_ptg000011l	644767	647181	+	1071.9	635	https://www.orthodb.org/v10?query=2203at4891	Glutaminyl-tRNA synthetase
2212at4891	Complete	C0000000002_ptg000002l	417338	419608	+	932.0	566	https://www.orthodb.org/v10?query=2212at4891	ATPase, AAA-type, conserved site
2307at4891	Complete	C0000000013_ptg000013l	269621	271945	-	1362.6	664	https://www.orthodb.org/v10?query=2307at4891	Aconitate hydratase, mitochondrial
2368at4891	Complete	C0000000013_ptg000013l	468770	471571	-	999.3	756	https://www.orthodb.org/v10?query=2368at4891	WD40 repeat
2373at4891	Complete	C0000000007_ptg000007l	252657	254768	-	673.4	431	https://www.orthodb.org/v10?query=2373at4891	Serine/threonine-protein kinase
2385at4891	Complete	C0000000002_ptg000002l	626831	629815	+	1043.0	739	https://www.orthodb.org/v10?query=2385at4891	Lon protease homolog, mitochondrial
2413at4891	Complete	C0000000002_ptg000002l	432255	435011	-	531.6	406	https://www.orthodb.org/v10?query=2413at4891	SNF2-related, N-terminal domain
2421at4891	Complete	C0000000006_ptg000006l	685608	689006	-	824.9	716	https://www.orthodb.org/v10?query=2421at4891	Ubiquitin carboxyl-terminal hydrolase 12
2432at4891	Complete	C0000000003_ptg000003l	340323	343115	-	1189.1	636	https://www.orthodb.org/v10?query=2432at4891	DNA helicase
2446at4891	Complete	C0000000014_ptg000014l	581809	586568	-	646.5	710	https://www.orthodb.org/v10?query=2446at4891	Autophagy-related protein 2
2456at4891	Complete	C0000000012_ptg000012l	109995	113327	-	821.3	524	https://www.orthodb.org/v10?query=2456at4891	SNF2-related, N-terminal domain
2459at4891	Complete	C0000000012_ptg000012l	80776	84381	-	575.8	892	https://www.orthodb.org/v10?query=2459at4891	WD40/YVTN repeat-like-containing domain superfamily
2471at4891	Complete	C0000000014_ptg000014l	380247	383129	-	1230.6	779	https://www.orthodb.org/v10?query=2471at4891	Pro-apoptotic serine protease NMA111
2483at4891	Complete	C0000000010_ptg000010l	280968	283313	+	1010.7	660	https://www.orthodb.org/v10?query=2483at4891	Histidine biosynthesis trifunctional protein
2485at4891	Complete	C0000000008_ptg000008l	906414	909107	+	1052.5	588	https://www.orthodb.org/v10?query=2485at4891	Putative SWI/SNF family member, DNA-dependent ATPase
2499at4891	Complete	C0000000014_ptg000014l	729857	732568	+	1038.3	708	https://www.orthodb.org/v10?query=2499at4891	Tetratricopeptide repeat
2515at4891	Complete	C0000000002_ptg000002l	544493	547240	+	713.4	630	https://www.orthodb.org/v10?query=2515at4891	binding
2531at4891	Complete	C0000000007_ptg000007l	345809	348142	-	925.2	504	https://www.orthodb.org/v10?query=2531at4891	WD40-repeat-containing domain
2534at4891	Complete	C0000000008_ptg000008l	62771	66901	-	964.5	612	https://www.orthodb.org/v10?query=2534at4891	ATPase, AAA-type, conserved site
2539at4891	Complete	C0000000007_ptg000007l	870835	873270	-	571.5	560	https://www.orthodb.org/v10?query=2539at4891	Eukaryotic translation initiation factor 3 subunit C
2543at4891	Complete	C0000000014_ptg000014l	568045	570960	-	377.5	553	https://www.orthodb.org/v10?query=2543at4891	Mediator of RNA polymerase II transcription subunit 16
2548at4891	Complete	C0000000010_ptg000010l	130259	134455	+	812.8	756	https://www.orthodb.org/v10?query=2548at4891	Transcription initiation factor TFIID subunit 2
2549at4891	Complete	C0000000015_ptg000015l	476752	481413	-	1505.5	1008	https://www.orthodb.org/v10?query=2549at4891	WD40 repeat
2564at4891	Complete	C0000000003_ptg000003l	429978	433208	-	797.6	681	https://www.orthodb.org/v10?query=2564at4891	RuvA domain 2-like
2565at4891	Complete	C0000000002_ptg000002l	412989	416957	+	750.1	656	https://www.orthodb.org/v10?query=2565at4891	Bromodomain
2568at4891	Complete	C0000000005_ptg000005l	812839	816264	-	894.7	738	https://www.orthodb.org/v10?query=2568at4891	WD40-repeat-containing domain
2611at4891	Complete	C0000000008_ptg000008l	120537	123479	+	1341.4	736	https://www.orthodb.org/v10?query=2611at4891	ATP-dependent 6-phosphofructokinase
2618at4891	Duplicated	C0000000017_ptg000017l	473629	477444	+	1519.8	854	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2618at4891	Duplicated	C0000000007_ptg000007l	459023	462679	+	1548.3	859	https://www.orthodb.org/v10?query=2618at4891	Myosin-1
2630at4891	Complete	C0000000002_ptg000002l	378772	383127	-	899.8	897	https://www.orthodb.org/v10?query=2630at4891	WD40-repeat-containing domain
2640at4891	Complete	C0000000002_ptg000002l	350461	352830	-	1011.7	537	https://www.orthodb.org/v10?query=2640at4891	Zinc finger, RING-type
2706at4891	Complete	C0000000013_ptg000013l	427984	430377	+	650.9	520	https://www.orthodb.org/v10?query=2706at4891	Vacuole morphology and inheritance protein 14
2716at4891	Complete	C0000000013_ptg000013l	231560	233896	-	886.9	536	https://www.orthodb.org/v10?query=2716at4891	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
2724at4891	Complete	C0000000016_ptg000016l	237285	239468	-	1160.5	589	https://www.orthodb.org/v10?query=2724at4891	Threonyl-tRNA synthetase
2754at4891	Complete	C0000000011_ptg000011l	1010833	1012974	-	654.4	543	https://www.orthodb.org/v10?query=2754at4891	Eukaryotic translation initiation factor 3 subunit B
2784at4891	Complete	C0000000008_ptg000008l	654282	656399	+	1134.1	586	https://www.orthodb.org/v10?query=2784at4891	Tryptophan synthase
2793at4891	Complete	C0000000008_ptg000008l	656776	659169	+	753.1	591	https://www.orthodb.org/v10?query=2793at4891	Glycosyl hydrolase family 63, N-terminal
2825at4891	Complete	C0000000004_ptg000004l	251333	253564	-	1127.2	599	https://www.orthodb.org/v10?query=2825at4891	Elongation factor G, mitochondrial
2851at4891	Complete	C0000000013_ptg000013l	113953	116400	-	822.1	602	https://www.orthodb.org/v10?query=2851at4891	WD40-repeat-containing domain
